NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Rmag,Separation_arcsec
50812,20.172,10353.647,4820.828,0.976,1.955,9.437,-33.427,9.437,-33.427,18.794,0.500
50820,17.272,13948.735,4693.033,0.867,2.227,9.198,-33.434,9.198,-33.434,16.714,0.499
50862,14.932,3608.374,4597.917,0.998,2.867,9.886,-33.439,9.886,-33.439,14.494,0.503
51038,19.442,9975.615,4837.304,0.969,1.966,9.462,-33.426,9.462,-33.426,17.946,0.307
51095,20.469,14157.855,4837.871,0.961,2.055,9.184,-33.426,9.184,-33.426,19.440,0.417
51203,16.480,16966.752,4710.832,0.993,2.299,8.997,-33.432,8.997,-33.432,15.232,0.438
51205,16.521,16827.850,4747.835,0.892,2.291,9.006,-33.430,9.006,-33.430,15.464,0.464
51258,19.959,10154.353,4852.466,0.874,2.067,9.450,-33.425,9.450,-33.425,19.278,0.460
51290,20.859,2768.208,4876.318,0.976,2.046,9.942,-33.423,9.942,-33.423,19.411,0.592
51560,17.902,11906.245,4803.992,0.976,2.083,9.334,-33.428,9.334,-33.428,17.458,0.605
51571,20.178,9630.317,4900.950,0.964,2.000,9.485,-33.423,9.485,-33.423,18.376,0.373
51619,19.664,12377.816,4889.751,0.958,2.001,9.302,-33.423,9.302,-33.423,18.705,0.574
51807,17.579,15932.952,4838.389,0.888,2.216,9.066,-33.425,9.066,-33.426,16.799,0.519
51926,15.166,1805.840,4708.786,0.999,2.641,10.006,-33.432,10.006,-33.432,14.169,0.576
51927,20.338,8084.741,4953.464,0.952,2.019,9.588,-33.420,9.588,-33.420,19.399,0.470
51932,19.512,15046.105,4933.838,0.940,2.114,9.125,-33.420,9.125,-33.420,18.406,0.550
51933,21.079,1667.913,4952.248,0.984,2.027,10.015,-33.419,10.015,-33.419,20.314,0.579
51965,16.448,2519.478,4796.077,0.996,2.228,9.958,-33.428,9.959,-33.428,15.890,0.609
52026,20.011,4379.511,4954.297,0.926,2.061,9.835,-33.419,9.835,-33.419,18.855,0.488
52043,19.236,2349.021,4939.321,0.844,2.421,9.970,-33.420,9.970,-33.420,17.298,0.632
52102,21.207,4460.905,4984.418,0.970,2.044,9.829,-33.418,9.829,-33.418,19.369,0.391
52104,21.147,13023.627,4986.486,0.982,1.918,9.259,-33.418,9.259,-33.418,19.224,0.409
52120,14.707,7697.102,4403.410,0.991,3.527,9.614,-33.450,9.614,-33.450,13.868,0.425
52143,19.342,13605.747,4938.310,0.895,2.060,9.221,-33.420,9.221,-33.420,18.661,0.477
52180,20.253,15532.388,4970.802,0.925,2.127,9.092,-33.418,9.092,-33.418,19.625,0.562
52236,18.297,10350.991,4954.914,0.960,2.038,9.437,-33.420,9.437,-33.420,17.041,0.518
52704,18.218,12353.719,4968.907,0.893,2.078,9.304,-33.419,9.304,-33.419,17.731,0.595
52793,20.648,16893.900,5046.535,0.925,2.207,9.002,-33.414,9.002,-33.414,19.448,0.475
52806,21.119,7996.489,5066.881,0.980,1.941,9.594,-33.413,9.594,-33.413,19.314,0.475
52873,19.389,15120.759,5043.444,0.877,2.117,9.120,-33.414,9.120,-33.414,18.977,0.553
52977,22.302,16905.000,5102.498,0.978,1.819,9.001,-33.410,9.001,-33.410,19.250,1.265
53176,22.564,6205.977,5107.730,0.916,2.562,9.713,-33.411,9.713,-33.411,19.501,0.495
53277,18.069,12847.670,5056.119,0.914,2.079,9.271,-33.414,9.271,-33.414,17.463,0.540
53338,21.035,16902.373,5108.375,0.917,2.372,9.001,-33.410,9.001,-33.410,19.250,0.526
53362,20.950,8910.997,5120.958,0.982,1.923,9.533,-33.410,9.533,-33.411,20.463,0.462
53427,17.436,6720.700,5036.251,0.930,2.119,9.679,-33.415,9.679,-33.415,16.982,0.416
53508,17.625,15348.167,5057.850,0.901,2.250,9.105,-33.413,9.105,-33.413,16.794,0.564
53534,21.004,11373.822,5105.097,0.978,1.909,9.369,-33.411,9.369,-33.411,19.260,0.695
53627,18.840,2768.412,5102.489,0.999,2.087,9.942,-33.411,9.942,-33.411,18.393,0.564
53685,19.633,1768.636,5139.434,0.953,2.031,10.008,-33.408,10.009,-33.408,18.122,0.539
