NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Gmag,GAIA_StarProb,Separation_arcsec
8146,20.304,8306.327,5489.999,0.914,2.505,9.573,-33.390,9.573,-33.390,20.356,1.000,0.262
8148,21.729,15630.911,5479.079,0.980,2.151,9.086,-33.390,9.086,-33.390,20.861,1.000,0.517
8160,17.777,4129.063,5535.380,0.934,2.084,9.851,-33.387,9.851,-33.387,17.191,0.998,0.529
8164,20.980,2963.050,5496.190,0.979,1.978,9.929,-33.389,9.929,-33.389,20.570,1.000,0.562
8173,20.399,13345.854,5509.553,0.980,1.991,9.238,-33.389,9.238,-33.389,19.730,1.000,0.538
8186,20.685,2353.733,5514.167,0.981,1.998,9.969,-33.388,9.969,-33.388,19.949,1.000,0.516
8190,18.801,15518.747,5541.902,0.937,2.176,9.093,-33.386,9.093,-33.387,18.818,1.000,0.526
8203,21.930,2186.418,5517.957,0.973,1.864,9.980,-33.388,9.981,-33.388,20.431,1.000,0.496
8207,16.987,3636.389,5586.829,0.922,2.138,9.884,-33.384,9.884,-33.384,16.862,1.000,0.507
8234,21.002,10058.704,5551.458,0.978,1.845,9.457,-33.387,9.457,-33.387,20.703,1.000,0.486
8270,21.184,1824.794,5576.389,0.980,1.936,10.004,-33.384,10.005,-33.384,21.074,0.999,0.525
8278,17.139,16268.615,5638.095,0.936,2.148,9.044,-33.381,9.044,-33.381,16.989,0.999,0.481
8301,20.930,5373.162,5597.525,0.981,1.929,9.768,-33.384,9.769,-33.384,20.503,1.000,0.448
8309,18.573,9050.880,5631.583,0.919,2.001,9.524,-33.382,9.524,-33.382,18.517,1.000,0.443
8330,21.996,2282.372,5612.258,0.975,1.795,9.974,-33.382,9.974,-33.382,21.090,1.000,0.543
8333,16.015,12545.726,5768.999,0.927,2.011,9.291,-33.374,9.291,-33.374,15.985,1.000,0.570
8335,18.329,9561.372,5654.367,0.926,1.991,9.490,-33.381,9.490,-33.381,18.321,1.000,0.431
8357,18.787,8705.726,5668.515,0.957,1.994,9.547,-33.380,9.547,-33.380,18.447,1.000,0.492
8366,18.065,1836.001,5683.227,0.951,2.052,10.004,-33.378,10.004,-33.378,17.858,1.000,0.481
8368,20.399,10594.629,5650.121,0.981,1.840,9.421,-33.381,9.421,-33.381,19.799,1.000,0.591
8371,20.964,10621.698,5645.134,0.977,1.804,9.419,-33.381,9.419,-33.381,20.860,1.000,0.604
8397,15.359,16876.033,5857.333,0.998,2.482,9.003,-33.369,9.003,-33.369,15.210,1.000,0.506
8416,21.366,1819.279,5670.414,0.976,2.223,10.005,-33.379,10.005,-33.379,20.796,1.000,0.512
8456,14.235,5255.126,5940.276,0.982,3.977,9.776,-33.365,9.776,-33.365,14.040,1.000,0.450
8462,18.297,9461.221,5826.878,0.942,1.977,9.496,-33.371,9.497,-33.371,18.278,1.000,0.418
8465,15.520,3923.540,5928.081,0.871,3.029,9.865,-33.365,9.865,-33.365,15.677,1.000,0.464
8470,20.180,15060.763,5709.723,0.982,1.988,9.124,-33.377,9.124,-33.377,20.075,1.000,0.548
8486,20.306,6319.768,5718.742,0.982,1.922,9.705,-33.377,9.706,-33.377,19.719,1.000,0.420
8487,15.639,1835.732,5887.221,0.998,2.208,10.004,-33.367,10.004,-33.367,15.581,1.000,0.517
8499,16.078,8838.048,5845.200,0.957,2.038,9.538,-33.370,9.538,-33.370,16.290,0.993,0.484
8500,21.669,13005.274,5716.244,0.968,1.773,9.261,-33.377,9.261,-33.377,21.133,0.999,0.589
8526,20.770,2333.760,5738.520,0.979,1.945,9.971,-33.375,9.971,-33.375,20.601,1.000,0.533
8539,14.498,9159.056,5959.307,0.982,3.479,9.517,-33.364,9.517,-33.364,14.260,1.000,0.466
8548,15.112,7947.548,5942.296,0.996,2.600,9.597,-33.365,9.597,-33.365,14.896,1.000,0.484
8565,18.041,15782.920,5798.706,0.938,2.122,9.076,-33.372,9.076,-33.372,18.019,1.000,0.529
8580,21.558,10850.746,5773.262,0.971,1.748,9.404,-33.374,9.404,-33.374,20.666,1.000,0.731
8588,18.917,6257.193,5811.916,0.965,2.024,9.710,-33.372,9.710,-33.372,18.890,1.000,0.393
8603,19.737,12459.061,5806.208,0.983,1.939,9.297,-33.372,9.297,-33.372,19.480,1.000,0.626
8618,19.731,8390.698,5824.086,0.976,1.970,9.568,-33.371,9.568,-33.371,19.658,1.000,0.482
8619,20.483,14590.310,5815.955,0.927,2.153,9.155,-33.371,9.155,-33.372,19.876,1.000,0.587
8624,20.269,2029.031,5810.033,0.983,1.923,9.991,-33.371,9.991,-33.371,19.995,1.000,0.511
8629,15.706,3370.867,5977.633,0.997,2.130,9.902,-33.362,9.902,-33.362,15.681,1.000,0.536
8668,19.044,5268.225,5881.094,0.858,2.170,9.775,-33.368,9.775,-33.368,18.790,1.000,0.477
8676,21.190,16336.516,5844.261,0.979,1.959,9.039,-33.369,9.039,-33.370,20.972,0.989,0.503
8677,17.469,15043.911,5892.185,0.940,2.109,9.125,-33.367,9.125,-33.367,17.482,1.000,0.529
8696,19.018,9640.602,5882.598,0.976,1.944,9.484,-33.368,9.485,-33.368,18.884,1.000,0.435
8710,17.308,2981.006,5922.745,0.958,2.066,9.927,-33.365,9.928,-33.365,17.285,1.000,0.513
8732,20.793,11319.260,5877.713,0.978,1.829,9.373,-33.368,9.373,-33.369,20.680,1.000,0.783
8744,18.488,9447.839,5923.588,0.960,1.957,9.497,-33.366,9.497,-33.366,18.467,1.000,0.430
8764,15.357,9461.880,6086.392,0.999,2.381,9.496,-33.357,9.496,-33.357,15.216,1.000,0.428
8768,21.232,16807.795,5896.839,0.980,2.003,9.008,-33.366,9.008,-33.366,21.035,0.999,0.458
8792,21.636,8158.036,5906.133,0.968,1.808,9.583,-33.367,9.583,-33.367,20.979,1.000,0.498
8795,21.137,15655.042,5912.241,0.980,1.966,9.084,-33.366,9.085,-33.366,20.911,1.000,0.519
8799,18.903,2811.549,5940.951,0.971,1.986,9.939,-33.364,9.939,-33.364,18.735,1.000,0.510
8810,20.835,7878.812,5926.507,0.978,2.209,9.602,-33.366,9.602,-33.366,20.750,1.000,0.460
8848,20.612,12096.024,5948.219,0.979,1.871,9.321,-33.364,9.321,-33.365,20.090,1.000,0.647
8850,18.098,15843.466,5983.968,0.952,2.140,9.072,-33.362,9.072,-33.362,17.716,0.999,0.474
8871,18.410,3609.655,5999.316,0.956,2.016,9.886,-33.361,9.886,-33.361,18.406,1.000,0.505
8899,19.142,2794.189,6014.055,0.981,1.967,9.940,-33.360,9.940,-33.360,18.356,1.000,0.599
8910,20.278,15604.270,6007.394,0.982,2.005,9.088,-33.361,9.088,-33.361,19.883,1.000,0.496
8913,16.878,14388.378,6066.782,0.931,2.082,9.169,-33.357,9.169,-33.358,16.834,1.000,0.545
8914,19.506,15159.219,6021.695,0.986,2.012,9.117,-33.360,9.118,-33.360,18.876,1.000,0.560
8915,18.234,15274.448,6040.248,0.905,2.099,9.110,-33.359,9.110,-33.359,17.887,1.000,0.519
8917,19.128,4136.421,6029.136,0.969,1.977,9.851,-33.360,9.851,-33.360,19.115,1.000,0.489
8952,17.185,13747.279,6079.572,0.999,2.003,9.211,-33.357,9.211,-33.357,17.180,1.000,0.542
8958,15.025,9034.933,6231.444,0.996,2.996,9.525,-33.349,9.525,-33.349,15.448,1.000,0.298
8960,20.946,12760.135,6027.776,0.976,1.818,9.277,-33.360,9.277,-33.360,20.498,1.000,0.640
8984,15.984,12020.455,6184.567,0.993,1.980,9.326,-33.351,9.326,-33.351,16.007,1.000,0.713
8991,21.048,13876.155,6046.565,0.979,1.952,9.203,-33.359,9.203,-33.359,21.031,0.999,0.550
9006,18.358,2631.497,6088.964,0.957,1.986,9.951,-33.356,9.951,-33.356,18.198,1.000,0.512
9015,20.223,16924.125,6070.402,0.979,2.073,9.000,-33.357,9.000,-33.357,20.162,1.000,0.475
9041,21.810,15528.266,6078.471,0.976,1.959,9.093,-33.357,9.093,-33.357,20.964,0.999,0.554
9052,20.398,5283.854,6099.050,0.980,1.937,9.774,-33.356,9.774,-33.356,20.318,0.988,0.481
9073,19.561,16383.376,6121.605,0.981,2.030,9.036,-33.354,9.036,-33.354,18.856,1.000,0.514
9078,18.369,14238.933,6145.325,0.956,2.018,9.179,-33.353,9.179,-33.353,18.315,1.000,0.510
9093,11.703,6115.115,6695.570,0.845,16.865,9.719,-33.323,9.719,-33.323,11.242,0.999,0.415
9102,20.598,4045.780,6127.523,0.981,1.892,9.857,-33.354,9.857,-33.354,20.540,1.000,0.541
9108,17.029,13191.869,6186.922,0.970,2.021,9.248,-33.351,9.248,-33.351,16.960,1.000,0.573
9115,21.000,12901.746,6130.315,0.978,1.805,9.268,-33.354,9.268,-33.354,20.458,1.000,0.630
9120,21.829,2370.348,6133.811,0.969,1.871,9.968,-33.353,9.968,-33.353,21.067,0.999,0.479
9147,21.472,4557.622,6148.973,0.973,1.816,9.823,-33.353,9.823,-33.353,20.697,1.000,0.520
9168,20.570,14768.739,6174.294,0.981,1.922,9.143,-33.351,9.144,-33.352,19.907,1.000,0.527
9180,13.061,6834.061,6478.398,0.845,7.479,9.671,-33.335,9.671,-33.335,12.778,1.000,0.477
9196,15.550,3204.371,6361.839,0.998,2.249,9.913,-33.341,9.913,-33.341,15.466,1.000,0.508
9206,19.720,3682.585,6204.549,0.977,1.931,9.881,-33.350,9.881,-33.350,19.620,1.000,0.501
9209,21.382,3968.745,6193.822,0.971,1.894,9.862,-33.350,9.862,-33.350,20.686,1.000,0.503
9211,19.010,3269.284,6221.662,0.968,1.985,9.908,-33.349,9.908,-33.349,18.943,1.000,0.505
9226,20.177,4554.996,6215.069,0.982,1.865,9.823,-33.349,9.823,-33.349,19.768,1.000,0.492
9229,19.251,4042.451,6231.197,0.971,1.965,9.857,-33.348,9.857,-33.348,19.229,1.000,0.527
9241,16.932,2429.178,6286.109,0.921,2.091,9.964,-33.345,9.964,-33.345,16.915,1.000,0.496
9269,18.300,2229.483,6270.252,0.973,2.027,9.977,-33.346,9.978,-33.346,18.254,1.000,0.498
9281,20.128,5400.227,6248.018,0.982,1.948,9.766,-33.348,9.767,-33.348,19.678,1.000,0.487
9287,20.058,5097.373,6257.456,0.953,2.012,9.787,-33.347,9.787,-33.347,20.019,1.000,0.491
9288,18.705,7014.519,6274.394,0.908,2.022,9.659,-33.346,9.659,-33.346,18.238,1.000,0.423
9309,19.240,7737.829,6282.053,0.989,1.957,9.611,-33.346,9.611,-33.346,18.818,1.000,0.471
9311,14.275,14583.102,6603.901,0.981,3.905,9.156,-33.328,9.156,-33.328,13.950,1.000,0.540
9332,18.964,8958.762,6321.816,0.922,2.059,9.530,-33.344,9.530,-33.344,18.958,1.000,0.422
9378,19.387,11344.407,6325.227,0.979,1.865,9.371,-33.343,9.371,-33.344,18.935,1.000,0.797
9386,16.381,14863.695,6430.032,0.886,2.181,9.137,-33.337,9.137,-33.337,16.409,1.000,0.504
9391,20.143,12531.573,6327.104,0.980,1.922,9.292,-33.343,9.292,-33.343,19.688,1.000,0.658
9413,21.981,8363.272,6321.529,0.964,1.832,9.569,-33.344,9.570,-33.344,20.969,1.000,0.532
9421,20.408,16658.627,6343.398,0.982,2.002,9.018,-33.342,9.018,-33.342,19.795,1.000,0.478
9446,16.008,8974.630,6517.520,0.997,2.024,9.529,-33.333,9.529,-33.333,16.027,1.000,0.451
9465,18.892,15038.773,6398.196,0.946,2.057,9.126,-33.339,9.126,-33.339,18.832,1.000,0.533
9475,21.866,9567.608,6370.683,0.959,1.833,9.489,-33.341,9.489,-33.341,21.051,0.999,0.443
9501,20.895,17120.684,6396.698,0.983,2.087,8.987,-33.339,8.987,-33.339,20.487,1.000,0.488
9503,20.368,10454.469,6398.350,0.980,1.816,9.430,-33.339,9.431,-33.340,19.584,1.000,0.567
9513,19.980,4229.370,6411.907,0.981,1.896,9.844,-33.338,9.844,-33.338,19.272,1.000,0.475
9517,13.200,2807.599,6824.010,0.847,7.118,9.939,-33.315,9.939,-33.315,12.972,1.000,0.488
9523,15.345,8046.457,6598.755,0.998,2.394,9.590,-33.328,9.591,-33.328,15.236,1.000,0.486
9565,16.996,12612.358,6499.127,0.907,2.045,9.287,-33.334,9.287,-33.334,17.006,1.000,0.633
9566,19.279,8329.620,6457.029,0.979,1.983,9.572,-33.336,9.572,-33.336,19.233,1.000,0.484
9586,21.033,15737.417,6450.485,0.984,1.977,9.079,-33.336,9.079,-33.336,20.307,1.000,0.524
9593,21.549,9607.004,6446.084,0.968,1.782,9.487,-33.337,9.487,-33.337,20.819,1.000,0.439
9603,19.938,7992.903,6469.542,0.979,1.965,9.594,-33.336,9.594,-33.336,19.784,1.000,0.493
9612,19.047,4344.789,6487.670,0.976,1.977,9.837,-33.334,9.837,-33.334,19.002,1.000,0.521
9620,13.300,14746.691,6793.430,0.846,6.611,9.145,-33.317,9.145,-33.317,12.886,1.000,0.439
9637,19.494,15507.975,6496.829,0.977,2.045,9.094,-33.333,9.094,-33.333,19.055,1.000,0.536
9641,20.110,11034.561,6496.059,0.982,1.856,9.392,-33.334,9.392,-33.334,19.018,1.000,0.643
9642,22.451,7516.362,6478.373,0.961,1.826,9.626,-33.335,9.626,-33.335,21.278,0.999,0.447
9644,14.023,16782.506,6747.473,0.974,4.518,9.010,-33.319,9.010,-33.319,13.627,0.998,0.499
9668,21.726,16514.912,6491.715,0.979,1.938,9.027,-33.333,9.028,-33.334,20.730,1.000,0.508
9675,20.053,3119.770,6514.731,0.982,1.935,9.918,-33.332,9.918,-33.332,19.440,1.000,0.481
9676,21.321,10957.310,6501.966,0.971,1.829,9.397,-33.334,9.397,-33.334,20.852,1.000,0.722
9727,18.349,8108.192,6570.185,0.918,2.061,9.586,-33.330,9.587,-33.330,17.996,1.000,0.416
9728,20.834,5147.199,6536.287,0.979,1.923,9.783,-33.332,9.783,-33.332,20.721,1.000,0.482
9736,18.855,14902.052,6570.998,0.958,2.087,9.135,-33.329,9.135,-33.329,18.840,1.000,0.533
9744,17.504,6708.733,6592.042,0.952,2.081,9.679,-33.329,9.680,-33.329,17.452,1.000,0.434
9811,15.077,4594.210,6843.598,0.999,2.634,9.820,-33.314,9.820,-33.314,14.987,1.000,0.504
9814,20.067,7193.742,6599.473,0.980,1.923,9.647,-33.328,9.647,-33.328,19.644,1.000,0.448
9828,20.216,2367.659,6601.543,0.981,1.949,9.968,-33.327,9.968,-33.327,20.164,1.000,0.465
9834,20.232,11899.009,6610.162,0.983,1.877,9.334,-33.328,9.335,-33.328,19.436,1.000,0.690
9838,20.680,3691.738,6605.422,0.980,1.882,9.880,-33.327,9.880,-33.327,19.825,1.000,0.461
9845,20.285,9185.004,6615.632,0.992,1.902,9.515,-33.327,9.515,-33.328,20.195,1.000,0.461
9872,17.259,6499.400,6683.860,0.866,2.745,9.693,-33.324,9.693,-33.324,17.653,1.000,0.248
9874,20.424,12810.158,6633.294,0.982,1.891,9.274,-33.326,9.274,-33.326,20.277,1.000,0.622
9888,21.267,10982.642,6643.542,0.971,1.879,9.395,-33.326,9.395,-33.326,20.909,0.999,0.723
9896,21.119,2574.172,6644.741,0.980,1.886,9.954,-33.325,9.954,-33.325,20.974,0.998,0.511
9897,21.921,12625.190,6638.491,0.968,1.870,9.286,-33.326,9.286,-33.326,20.722,0.999,0.638
9903,19.014,17001.998,6671.110,0.948,2.173,8.995,-33.323,8.995,-33.323,18.941,1.000,0.470
9908,18.294,6776.650,6686.355,0.954,1.991,9.675,-33.323,9.675,-33.323,18.133,1.000,0.400
9919,13.760,4844.969,6922.450,0.981,5.132,9.803,-33.310,9.803,-33.310,13.427,1.000,0.582
9941,20.559,10435.539,6684.923,0.981,1.853,9.432,-33.324,9.432,-33.324,19.711,1.000,0.591
9958,16.756,9727.415,6763.848,0.949,2.050,9.479,-33.319,9.479,-33.319,16.770,1.000,0.464
9966,18.367,8614.163,6735.938,0.909,2.046,9.553,-33.321,9.553,-33.321,18.038,1.000,0.520
9974,20.385,4339.904,6715.867,0.980,1.911,9.837,-33.321,9.837,-33.321,20.285,1.000,0.528
10006,20.740,16619.082,6739.209,0.981,2.102,9.021,-33.320,9.021,-33.320,20.705,0.996,0.465
10012,15.032,13630.228,6938.273,0.998,2.662,9.219,-33.309,9.219,-33.309,14.864,1.000,0.567
10037,18.082,11954.022,6789.850,0.968,2.017,9.331,-33.318,9.331,-33.318,18.019,1.000,0.726
10044,18.611,6698.362,6774.590,0.971,2.090,9.680,-33.318,9.680,-33.319,18.585,1.000,0.465
10047,15.091,10622.850,7008.863,0.998,2.696,9.419,-33.306,9.419,-33.306,14.952,1.000,0.647
10048,18.620,3292.278,6794.273,0.968,2.027,9.907,-33.317,9.907,-33.317,18.606,1.000,0.505
10063,21.776,10940.979,6767.107,0.964,1.799,9.398,-33.319,9.398,-33.319,21.147,0.998,0.746
10107,20.415,14231.830,6804.362,0.982,1.927,9.179,-33.317,9.179,-33.317,19.634,1.000,0.515
10115,19.573,2002.367,6819.089,0.978,2.010,9.992,-33.315,9.992,-33.315,19.325,1.000,0.485
10134,18.279,3265.628,6860.026,0.928,2.058,9.908,-33.313,9.908,-33.313,17.926,0.999,0.508
10139,21.287,13863.305,6815.798,0.979,1.990,9.204,-33.316,9.204,-33.316,20.592,1.000,0.586
10172,15.388,16438.012,7032.093,0.998,2.470,9.033,-33.303,9.033,-33.304,15.240,1.000,0.440
10204,19.250,15893.424,6888.581,0.991,2.064,9.069,-33.312,9.069,-33.312,18.764,1.000,0.503
10210,20.958,11819.522,6871.143,0.976,1.876,9.340,-33.313,9.340,-33.313,20.729,1.000,0.761
10220,14.997,15364.391,7089.397,0.998,2.753,9.104,-33.300,9.104,-33.301,14.844,1.000,0.549
10221,19.837,1575.929,6889.927,0.980,2.010,10.021,-33.311,10.021,-33.311,19.760,1.000,0.500
10227,21.254,10546.842,6878.363,0.975,1.843,9.424,-33.313,9.424,-33.313,21.019,0.998,0.651
10228,19.659,8692.007,6896.921,0.979,1.996,9.548,-33.312,9.548,-33.312,19.514,1.000,0.510
10241,17.837,8846.053,6930.150,0.920,2.079,9.537,-33.310,9.537,-33.310,17.795,1.000,0.466
10243,20.817,3419.311,6894.989,0.979,2.016,9.898,-33.311,9.898,-33.311,20.219,1.000,0.532
10245,21.618,4733.100,6892.407,0.975,1.976,9.811,-33.312,9.811,-33.312,20.611,1.000,0.532
10263,18.815,16928.764,6937.589,0.904,2.147,9.000,-33.309,9.000,-33.309,18.788,1.000,0.446
10294,16.454,10995.279,7015.234,0.901,2.110,9.394,-33.305,9.395,-33.305,16.475,1.000,0.690
10306,20.072,1844.008,6951.406,0.983,2.006,10.003,-33.308,10.003,-33.308,20.014,1.000,0.483
10313,20.728,9225.951,6948.735,0.981,1.877,9.512,-33.309,9.512,-33.309,20.606,1.000,0.459
10319,20.475,10503.247,6963.001,0.918,2.442,9.427,-33.308,9.427,-33.308,21.337,0.999,0.624
10336,20.970,13181.917,6967.355,0.977,1.935,9.249,-33.308,9.249,-33.308,20.497,1.000,0.589
10338,15.745,7016.944,7139.719,0.998,2.104,9.659,-33.298,9.659,-33.298,15.224,0.998,0.385
10340,21.197,12471.312,6962.520,0.979,1.847,9.296,-33.308,9.296,-33.308,20.839,0.999,0.675
10362,12.433,5297.429,7420.118,0.845,11.040,9.773,-33.282,9.773,-33.283,12.097,1.000,0.767
10371,16.882,11556.315,7050.955,0.942,2.010,9.357,-33.303,9.357,-33.303,16.800,0.999,0.777
10373,21.159,10975.725,6988.993,0.971,2.398,9.396,-33.307,9.396,-33.307,20.817,1.000,0.751
10426,20.780,7809.423,7029.041,0.981,1.927,9.606,-33.304,9.606,-33.304,20.678,1.000,0.478
10429,20.975,15468.440,7031.320,0.981,2.080,9.097,-33.304,9.097,-33.304,20.870,0.995,0.537
10436,16.845,13834.397,7104.980,0.897,2.039,9.206,-33.300,9.206,-33.300,16.816,1.000,0.558
10444,20.942,15276.203,7043.574,0.982,2.176,9.110,-33.303,9.110,-33.303,20.989,0.999,0.509
10445,20.115,12272.285,7055.145,0.976,2.006,9.310,-33.303,9.310,-33.303,20.039,1.000,0.711
10448,20.619,9722.196,7048.977,0.982,1.901,9.479,-33.303,9.479,-33.303,20.539,1.000,0.446
10459,20.520,8923.329,7055.965,0.980,1.938,9.532,-33.303,9.532,-33.303,20.277,1.000,0.481
10462,18.935,2074.684,7081.378,0.953,2.062,9.987,-33.301,9.988,-33.301,18.916,1.000,0.486
10463,19.351,15886.167,7071.197,0.976,2.082,9.069,-33.301,9.069,-33.301,19.272,1.000,0.505
10465,20.704,13258.862,7057.373,0.980,1.881,9.244,-33.303,9.244,-33.303,20.028,1.000,0.591
10468,14.405,4649.535,7290.332,0.981,3.654,9.816,-33.290,9.816,-33.290,14.289,1.000,0.553
10498,17.774,4990.883,7130.804,0.956,2.068,9.794,-33.298,9.794,-33.299,17.726,1.000,0.521
10504,20.037,7052.318,7098.802,0.965,2.064,9.657,-33.301,9.657,-33.301,19.827,1.000,0.454
10540,16.543,6671.916,7201.050,0.909,2.107,9.682,-33.295,9.682,-33.295,16.228,0.998,0.481
10576,14.315,4562.030,7378.257,0.981,3.839,9.822,-33.285,9.822,-33.285,14.136,1.000,0.571
10588,19.965,5597.518,7163.912,0.977,2.011,9.753,-33.297,9.753,-33.297,19.740,1.000,0.503
10598,16.279,15282.358,7298.026,0.937,2.468,9.110,-33.289,9.110,-33.289,16.132,0.999,0.393
10614,21.478,17016.172,7162.100,0.977,2.085,8.994,-33.296,8.994,-33.296,21.078,0.999,0.439
10637,15.406,15469.958,7367.418,0.996,2.369,9.097,-33.285,9.097,-33.285,15.337,1.000,0.532
10678,21.143,3791.333,7205.309,0.979,1.907,9.873,-33.294,9.873,-33.294,20.952,0.999,0.546
10685,19.340,10755.340,7228.990,0.975,1.946,9.410,-33.293,9.411,-33.293,19.291,1.000,0.657
10687,19.876,3252.111,7221.398,0.980,1.987,9.909,-33.293,9.909,-33.293,19.640,1.000,0.526
10691,20.486,10711.125,7217.386,0.945,2.566,9.413,-33.294,9.414,-33.294,20.460,1.000,0.836
10721,19.558,4767.380,7253.303,0.960,2.002,9.808,-33.292,9.809,-33.292,19.191,1.000,0.552
10728,20.503,4379.215,7248.761,0.965,2.260,9.834,-33.292,9.834,-33.292,20.558,1.000,0.734
10746,19.486,5757.327,7264.787,0.979,1.986,9.743,-33.291,9.743,-33.291,19.417,1.000,0.474
10762,20.637,14817.224,7264.420,0.980,1.924,9.140,-33.291,9.141,-33.291,20.002,1.000,0.566
10790,19.337,10317.747,7294.746,0.983,1.938,9.440,-33.290,9.440,-33.290,19.250,1.000,0.561
10817,19.245,15248.477,7310.352,0.980,2.063,9.112,-33.288,9.112,-33.288,19.194,1.000,0.522
10818,21.377,13763.848,7285.771,0.972,1.857,9.210,-33.290,9.211,-33.290,20.644,1.000,0.569
10820,16.004,6140.983,7433.705,0.984,2.436,9.717,-33.282,9.717,-33.282,16.331,1.000,0.590
10824,19.345,9112.860,7312.044,0.983,1.961,9.520,-33.289,9.520,-33.289,19.217,1.000,0.464
10828,19.442,4985.068,7312.157,0.979,2.001,9.794,-33.288,9.794,-33.288,19.106,1.000,0.522
10829,21.369,12072.237,7293.591,0.973,1.913,9.323,-33.290,9.323,-33.290,20.774,1.000,0.707
10830,16.803,12536.982,7374.288,0.970,2.056,9.292,-33.285,9.292,-33.285,16.821,1.000,0.637
10833,16.869,6169.528,7392.309,0.955,2.109,9.715,-33.284,9.715,-33.284,16.771,0.999,0.498
10836,18.016,3325.106,7342.044,0.856,2.140,9.904,-33.286,9.904,-33.286,17.907,1.000,0.591
10840,20.062,9813.214,7310.453,0.981,1.897,9.473,-33.289,9.473,-33.289,19.984,1.000,0.435
10852,19.738,2959.911,7321.123,0.989,1.967,9.928,-33.288,9.929,-33.288,19.128,1.000,0.602
10884,14.490,15354.074,7547.523,0.983,3.497,9.105,-33.275,9.105,-33.275,14.220,1.000,0.527
10890,20.255,7420.221,7331.663,0.980,1.982,9.632,-33.288,9.632,-33.288,20.142,1.000,0.486
10907,22.658,13692.033,7326.117,0.973,1.755,9.215,-33.288,9.215,-33.288,20.853,0.999,0.545
10927,17.498,3341.186,7404.132,0.936,2.078,9.903,-33.283,9.903,-33.283,17.432,1.000,0.539
10975,17.942,12033.900,7417.638,0.928,2.011,9.325,-33.283,9.326,-33.283,17.962,1.000,0.719
10979,19.200,3061.705,7415.321,0.972,2.010,9.922,-33.282,9.922,-33.282,19.118,1.000,0.516
10989,21.337,13447.031,7384.184,0.975,1.830,9.232,-33.284,9.232,-33.285,20.474,1.000,0.571
10991,20.737,12399.190,7390.396,0.979,1.844,9.301,-33.284,9.301,-33.284,20.629,1.000,0.651
10993,13.062,2977.894,7854.235,0.845,7.625,9.927,-33.258,9.927,-33.258,12.831,1.000,0.558
11004,19.808,16348.120,7409.783,0.977,2.078,9.039,-33.282,9.039,-33.283,19.458,1.000,0.448
11018,17.371,7387.229,7517.659,0.950,2.088,9.634,-33.277,9.634,-33.277,17.361,1.000,0.492
11024,21.462,1789.972,7402.113,0.975,1.928,10.006,-33.283,10.006,-33.283,20.420,1.000,0.412
11043,16.416,7517.367,7510.179,0.986,2.163,9.626,-33.278,9.626,-33.278,16.389,1.000,0.524
11055,19.812,11349.816,7439.849,0.985,1.850,9.371,-33.282,9.371,-33.282,19.332,1.000,0.749
11067,18.602,6221.815,7467.791,0.953,2.020,9.712,-33.280,9.712,-33.280,18.120,0.999,0.501
11076,17.557,11744.383,7491.154,0.905,2.011,9.345,-33.279,9.345,-33.279,17.555,1.000,0.760
11092,16.776,3158.955,7522.938,0.921,2.121,9.915,-33.276,9.915,-33.276,16.777,1.000,0.515
11096,19.375,6764.252,7471.801,0.976,1.989,9.676,-33.280,9.676,-33.280,18.687,1.000,0.531
11193,18.914,15698.161,7547.768,0.938,2.117,9.082,-33.275,9.082,-33.275,18.837,1.000,0.512
11197,17.817,14842.689,7576.855,0.843,2.146,9.139,-33.274,9.139,-33.274,17.656,1.000,0.552
11216,19.591,1870.023,7553.393,0.978,2.002,10.001,-33.274,10.001,-33.274,18.900,1.000,0.496
11235,18.859,5333.766,7576.297,0.941,2.035,9.771,-33.274,9.771,-33.274,18.825,1.000,0.527
11262,21.096,9366.815,7566.066,0.977,1.885,9.503,-33.275,9.503,-33.275,20.491,1.000,0.454
11287,15.029,8694.376,7780.690,0.997,2.728,9.547,-33.263,9.548,-33.263,14.866,1.000,0.524
11293,19.402,15602.675,7606.753,0.970,2.077,9.088,-33.272,9.088,-33.272,19.344,1.000,0.517
11311,17.022,10485.945,7667.499,0.893,2.020,9.428,-33.269,9.428,-33.269,17.020,1.000,0.577
11355,18.344,11311.196,7670.876,0.950,1.974,9.374,-33.269,9.374,-33.269,18.326,1.000,0.760
11404,19.379,8607.811,7680.137,0.979,2.002,9.553,-33.268,9.553,-33.268,19.063,1.000,0.501
11414,18.299,16416.182,7702.565,0.998,2.126,9.034,-33.266,9.034,-33.266,18.266,1.000,0.444
11432,20.862,4539.260,7673.958,0.980,1.842,9.823,-33.268,9.824,-33.268,20.759,1.000,0.559
11452,20.017,16858.309,7698.713,0.987,2.063,9.005,-33.266,9.005,-33.266,19.367,1.000,0.441
11473,14.568,8019.224,7918.690,0.981,3.362,9.592,-33.255,9.592,-33.255,14.377,0.999,0.529
11484,20.322,14149.810,7714.100,0.991,1.963,9.185,-33.266,9.185,-33.266,19.856,1.000,0.593
11499,17.528,6234.294,7769.793,0.927,2.085,9.711,-33.263,9.711,-33.263,17.511,1.000,0.508
11509,14.012,16679.269,7985.129,0.976,4.501,9.017,-33.250,9.017,-33.250,13.620,1.000,0.405
