NUMBER,MAG_AUTO,X_IMAGE,Y_IMAGE,CLASS_STAR,FLUX_RADIUS,RA_deg,Dec_deg,GAIA_RA,GAIA_Dec,GAIA_Gmag,GAIA_StarProb,Separation_arcsec
17876,20.666,9845.864,11812.089,0.980,1.922,9.471,-33.039,9.471,-33.039,20.181,1.000,0.323
17904,19.271,7802.145,11844.109,0.968,2.048,9.606,-33.037,9.607,-33.037,19.084,1.000,0.516
17917,20.544,2711.133,11835.045,0.985,1.928,9.944,-33.037,9.944,-33.037,19.723,1.000,0.530
17928,20.221,9326.015,11845.287,0.980,2.006,9.505,-33.037,9.506,-33.037,20.159,1.000,0.397
17935,20.789,9058.251,11844.213,0.980,1.954,9.523,-33.037,9.523,-33.037,20.351,1.000,0.493
17937,13.682,6049.232,12124.431,0.860,5.779,9.723,-33.021,9.723,-33.021,13.281,1.000,0.397
17938,19.203,14981.729,11863.626,0.961,2.040,9.131,-33.035,9.131,-33.035,18.953,1.000,0.477
17946,20.629,10212.826,11854.711,0.981,1.914,9.447,-33.036,9.447,-33.036,20.530,1.000,0.296
17974,21.224,13523.692,11863.452,0.974,2.046,9.227,-33.036,9.227,-33.036,20.984,0.999,0.423
17979,14.371,8914.337,12111.973,0.983,3.883,9.533,-33.022,9.533,-33.022,14.044,1.000,0.487
17986,18.994,2679.181,11896.014,0.971,2.013,9.946,-33.033,9.946,-33.033,18.763,1.000,0.543
17996,19.552,2727.787,11893.598,0.964,2.074,9.943,-33.033,9.943,-33.034,19.551,1.000,0.560
18015,17.026,9549.131,11949.845,0.884,2.094,9.491,-33.031,9.491,-33.031,16.972,1.000,0.346
18019,18.419,5727.963,11925.723,0.949,2.070,9.744,-33.032,9.744,-33.032,18.352,1.000,0.443
18027,19.941,5651.125,11908.179,0.981,2.001,9.749,-33.033,9.749,-33.033,19.467,1.000,0.475
18029,20.037,8332.965,11905.876,0.983,1.961,9.571,-33.034,9.571,-33.034,19.684,1.000,0.559
18033,20.368,7438.827,11904.327,0.991,1.963,9.630,-33.034,9.631,-33.034,19.722,1.000,0.518
18073,17.605,12223.783,11973.168,0.953,2.095,9.313,-33.030,9.313,-33.030,17.574,1.000,0.340
18081,18.962,7394.076,11952.460,0.943,2.041,9.633,-33.031,9.634,-33.031,18.890,1.000,0.489
18082,20.116,10736.835,11938.551,0.980,1.920,9.412,-33.032,9.412,-33.032,19.788,1.000,0.293
18083,17.336,3865.702,11982.330,0.904,2.108,9.867,-33.029,9.867,-33.029,16.872,0.998,0.603
18107,18.522,9521.838,11980.359,0.905,2.106,9.492,-33.029,9.493,-33.029,18.526,0.986,0.451
18110,21.471,3830.321,11941.228,0.975,1.955,9.870,-33.031,9.870,-33.031,20.591,1.000,0.602
18122,15.563,7888.634,12144.832,0.995,2.345,9.601,-33.020,9.601,-33.020,15.483,1.000,0.534
18128,20.116,12966.731,11965.581,0.978,1.977,9.264,-33.030,9.264,-33.030,19.802,1.000,0.365
18137,18.916,6435.521,12005.078,0.893,2.206,9.697,-33.028,9.697,-33.028,18.916,1.000,0.342
18144,20.117,2167.007,11981.213,0.991,2.047,9.980,-33.028,9.980,-33.029,20.039,1.000,0.512
18172,16.955,6191.554,12053.353,0.983,2.115,9.713,-33.025,9.713,-33.025,16.620,0.993,0.434
18184,21.135,13086.856,11994.278,0.977,1.942,9.256,-33.028,9.256,-33.028,20.763,1.000,0.415
18195,18.970,5547.424,12028.861,0.951,2.033,9.756,-33.026,9.756,-33.027,18.900,1.000,0.456
18203,19.370,6228.161,12027.649,0.966,2.078,9.711,-33.027,9.711,-33.027,19.342,1.000,0.417
18220,18.156,10645.466,12058.194,0.916,2.021,9.418,-33.025,9.418,-33.025,18.135,1.000,0.287
18221,21.061,14412.878,12018.800,0.978,1.947,9.168,-33.027,9.168,-33.027,20.337,1.000,0.478
18231,19.343,4266.417,12048.663,0.887,2.148,9.841,-33.025,9.841,-33.025,19.352,1.000,0.576
18232,20.741,15502.009,12031.989,0.981,2.021,9.096,-33.026,9.096,-33.026,20.555,1.000,0.428
18240,19.027,4257.653,12063.143,0.920,2.101,9.841,-33.024,9.841,-33.024,18.985,1.000,0.578
18244,21.070,10604.887,12035.347,0.977,1.919,9.421,-33.026,9.421,-33.026,20.774,1.000,0.324
18249,17.308,9657.254,12098.312,0.959,2.079,9.483,-33.023,9.484,-33.023,17.311,1.000,0.343
18260,18.079,12429.758,12087.551,0.899,2.074,9.300,-33.023,9.300,-33.023,18.026,1.000,0.333
18264,16.955,5881.837,12114.419,0.895,2.141,9.734,-33.022,9.734,-33.022,16.934,1.000,0.419
18265,16.763,6582.450,12138.006,0.928,2.155,9.687,-33.021,9.687,-33.021,16.751,1.000,0.419
18269,18.412,5399.940,12086.977,0.974,2.064,9.766,-33.023,9.766,-33.023,18.400,1.000,0.467
18271,21.423,15288.841,12050.315,0.977,1.963,9.110,-33.025,9.110,-33.025,20.888,0.999,0.483
18284,18.492,3336.140,12091.425,0.934,2.101,9.902,-33.023,9.902,-33.023,18.509,1.000,0.569
18287,21.162,5859.910,12063.910,0.977,2.036,9.735,-33.025,9.735,-33.025,21.037,0.992,0.464
18312,20.560,10201.550,19874.176,0.882,3.464,9.448,-32.591,9.448,-32.591,20.193,1.000,0.427
18340,21.121,4213.995,15604.971,0.980,2.002,9.843,-32.828,9.844,-32.828,20.604,1.000,0.601
18344,21.329,2193.620,17980.688,0.980,2.101,9.976,-32.695,9.976,-32.695,20.636,1.000,0.411
18352,21.136,3802.431,15655.005,0.979,2.001,9.871,-32.825,9.871,-32.825,21.087,0.995,0.608
18353,20.238,16893.652,15663.331,0.978,2.303,9.005,-32.824,9.005,-32.824,20.213,1.000,0.435
18357,22.251,13184.880,17950.875,0.967,2.140,9.251,-32.697,9.251,-32.698,20.958,0.999,0.355
18359,20.488,14147.557,15600.765,0.981,2.090,9.187,-32.828,9.187,-32.828,19.685,1.000,0.263
18361,21.301,6113.376,15656.435,0.984,1.991,9.718,-32.825,9.718,-32.825,20.415,1.000,0.436
18363,19.171,5598.315,15640.188,0.960,2.064,9.752,-32.826,9.752,-32.826,18.694,1.000,0.452
18386,21.125,6985.417,17973.277,0.979,2.191,9.660,-32.696,9.660,-32.696,20.961,0.999,0.457
18395,16.564,10696.052,15621.402,0.907,2.177,9.415,-32.827,9.415,-32.827,16.583,1.000,0.384
18402,19.496,7243.996,15572.964,0.986,2.040,9.643,-32.830,9.643,-32.830,19.379,1.000,0.537
18408,21.468,8439.360,15629.032,0.973,2.064,9.564,-32.827,9.564,-32.827,20.555,1.000,0.659
18432,20.570,5073.112,15552.872,0.982,2.087,9.787,-32.831,9.787,-32.831,20.528,0.998,0.522
18440,21.720,5822.982,15556.990,0.971,1.971,9.737,-32.830,9.737,-32.831,20.930,0.997,0.450
18446,19.189,6660.187,15607.736,0.945,2.067,9.682,-32.828,9.682,-32.828,18.676,1.000,0.470
18454,20.890,3742.155,15602.706,0.982,1.989,9.875,-32.828,9.875,-32.828,20.375,1.000,0.626
18456,18.684,6942.043,15589.452,0.964,2.092,9.663,-32.829,9.663,-32.829,18.665,1.000,0.483
18462,20.619,12893.050,15585.069,0.982,2.092,9.270,-32.829,9.270,-32.829,20.543,1.000,0.287
18477,19.180,13142.598,15581.018,0.949,2.161,9.253,-32.829,9.253,-32.829,19.145,1.000,0.269
18479,19.708,14540.094,15588.851,0.969,2.185,9.161,-32.828,9.161,-32.829,19.489,1.000,0.359
18502,21.169,6000.640,15535.824,0.981,1.975,9.725,-32.832,9.725,-32.832,20.413,1.000,0.421
18541,21.221,16998.771,15518.747,0.959,2.304,8.998,-32.832,8.998,-32.832,19.993,1.000,0.377
18542,20.737,14121.091,15533.126,0.978,2.175,9.188,-32.832,9.188,-32.832,20.695,0.994,0.324
18563,20.452,15594.608,15492.406,0.979,2.182,9.091,-32.834,9.091,-32.834,20.398,1.000,0.401
18580,17.931,2901.964,15502.709,0.943,2.174,9.930,-32.833,9.930,-32.833,17.932,1.000,0.588
18600,20.580,9755.567,15375.396,0.982,1.937,9.477,-32.841,9.477,-32.841,19.842,1.000,0.380
18612,20.617,14283.264,15492.156,0.982,2.124,9.178,-32.834,9.178,-32.834,20.176,1.000,0.348
18633,14.345,1580.818,15413.803,0.972,3.972,10.018,-32.838,10.018,-32.838,14.190,0.999,0.362
18641,19.097,5921.667,15471.777,0.968,2.079,9.731,-32.835,9.731,-32.835,19.010,1.000,0.414
18650,20.838,13237.459,15470.091,0.983,2.066,9.247,-32.835,9.247,-32.835,20.670,0.997,0.295
18666,18.142,2378.425,18080.750,0.905,2.268,9.964,-32.690,9.964,-32.690,18.152,1.000,0.383
18677,21.758,15998.341,15752.760,0.969,2.226,9.064,-32.819,9.064,-32.819,21.179,0.999,0.422
18682,17.268,13524.144,18113.447,0.895,2.419,9.228,-32.688,9.228,-32.688,17.287,1.000,0.339
18687,19.000,2552.602,18052.863,0.883,2.312,9.953,-32.691,9.953,-32.691,18.983,1.000,0.408
18689,20.338,16239.834,15408.496,0.954,2.330,9.048,-32.838,9.048,-32.838,20.278,1.000,0.382
18696,20.671,15950.044,15433.958,0.981,2.212,9.067,-32.837,9.068,-32.837,20.075,1.000,0.403
18698,15.603,15316.989,15393.272,0.997,2.246,9.109,-32.839,9.109,-32.839,15.537,1.000,0.392
18699,19.071,14908.236,15416.323,0.971,2.220,9.136,-32.838,9.136,-32.838,18.401,1.000,0.359
18711,18.856,7732.262,15243.510,0.980,2.100,9.611,-32.848,9.611,-32.848,18.817,1.000,0.552
18723,20.827,9222.364,15419.796,0.982,1.963,9.512,-32.838,9.512,-32.838,20.436,1.000,0.552
18746,16.158,3810.149,15367.464,0.979,2.278,9.870,-32.841,9.870,-32.841,16.128,1.000,0.621
18775,17.230,2837.697,18138.320,0.901,2.310,9.934,-32.687,9.934,-32.687,17.270,1.000,0.460
